clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse
4,CF,SCORING,0.48,Goalscoring,0.45,goals90,0.53,0
4,CF,SCORING,0.48,Goalscoring,0.45,goalsPassesRatio,0.47,0
4,CF,SCORING,0.48,Goalscoring,0.45,goalsWithoutPenalties90,0,0
4,CF,SCORING,0.48,Shooting,0.19,headShots90,0.442,0
4,CF,SCORING,0.48,Shooting,0.19,shots90,0.193,0
4,CF,SCORING,0.48,Shooting,0.19,shotsBlocked90,0.143,1
4,CF,SCORING,0.48,Shooting,0.19,shotsOnTarget90,0.132,0
4,CF,SCORING,0.48,Shooting,0.19,xgShot90,0.056,0
4,CF,SCORING,0.48,Shooting,0.19,shotsPassesRatio,0.034,0
4,CF,SCORING,0.48,Conversion,0.21,goalConversionPct,0.571,0
4,CF,SCORING,0.48,Conversion,0.21,headShotsOnTargetPct,0.25,0
4,CF,SCORING,0.48,Conversion,0.21,goalsShotsRatio,0.106,0
4,CF,SCORING,0.48,Conversion,0.21,goalsShotsOnTargetRatio,0.073,0
4,CF,SCORING,0.48,Positioning,0.15,passesToFinalThird90,0.285,0
4,CF,SCORING,0.48,Positioning,0.15,progressiveRun90,0.28,0
4,CF,SCORING,0.48,Positioning,0.15,touchInBox90,0.182,0
4,CF,SCORING,0.48,Positioning,0.15,passesToFinalThirdRatio,0.13,0
4,CF,SCORING,0.48,Positioning,0.15,touchInBoxReceivedPassRatio,0.123,0
4,CF,CREATING,0.25,Assists,0.33,assists90,0.439,0
4,CF,CREATING,0.25,Assists,0.33,secondAssists90,0.144,0
4,CF,CREATING,0.25,Assists,0.33,shotAssists90,0.142,0
4,CF,CREATING,0.25,Assists,0.33,shotOnTargetAssists90,0.122,0
4,CF,CREATING,0.25,Assists,0.33,thirdAssists90,0.077,0
4,CF,CREATING,0.25,Assists,0.33,xgAssist90,0.046,0
4,CF,CREATING,0.25,Assists,0.33,successfulShotAssistsPct,0.029,0
4,CF,CREATING,0.25,Assists,0.33,assistsPassesRatio,0,0
4,CF,CREATING,0.25,Crossing,0.27,crosses90,0.52,0
4,CF,CREATING,0.25,Crossing,0.27,successfulCrosses90,0.238,0
4,CF,CREATING,0.25,Crossing,0.27,crossesPassesRatio,0.177,0
4,CF,CREATING,0.25,Crossing,0.27,successfulCrossesPct,0.065,0
4,CF,CREATING,0.25,Dribbling,0.26,dribbles90,0.416,0
4,CF,CREATING,0.25,Dribbling,0.26,foulsSuffered90,0.186,0
4,CF,CREATING,0.25,Dribbling,0.26,successfulDribbles90,0.149,0
4,CF,CREATING,0.25,Dribbling,0.26,successfulDribblesPct,0.117,0
4,CF,CREATING,0.25,Dribbling,0.26,dribblesPassesRatio,0.102,0
4,CF,CREATING,0.25,Dribbling,0.26,offensiveDuelsWonPct,0.03,0
4,CF,CREATING,0.25,Comb Play,0.14,dangerousOwnHalfLosses90,0.315,1
4,CF,CREATING,0.25,Comb Play,0.14,linkupPlays90,0.193,0
4,CF,CREATING,0.25,Comb Play,0.14,missedBalls90,0.172,1
4,CF,CREATING,0.25,Comb Play,0.14,progressivePasses90,0.16,0
4,CF,CREATING,0.25,Comb Play,0.14,smartPasses90,0.137,0
4,CF,CREATING,0.25,Comb Play,0.14,successfulLinkupPlays90,0.023,0
4,CF,PASSING,0.15,Involvement,0.32,passes90,0.61,0
4,CF,PASSING,0.15,Involvement,0.32,receivedPass90,0.346,0
4,CF,PASSING,0.15,Involvement,0.32,receivedPassRatio,0.045,0
4,CF,PASSING,0.15,Accuracy,0.26,ballLosses90,0.26,1
4,CF,PASSING,0.15,Accuracy,0.26,ownHalfLosses90,0.159,1
4,CF,PASSING,0.15,Accuracy,0.26,successfulKeyPassesPct,0.143,0
4,CF,PASSING,0.15,Accuracy,0.26,successfulLongPassesPct,0.142,0
