clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse
3,KF,BALL WINNING,0.25,STOPPAGE,0.25,Clearance,0.2,0
3,KF,BALL WINNING,0.25,STOPPAGE,0.25,First Possession,0.25,0
3,KF,BALL WINNING,0.25,STOPPAGE,0.25,Hit Out Sharked,0,0
3,KF,BALL WINNING,0.25,STOPPAGE,0.25,Gather From Hitout,0,0
3,KF,BALL WINNING,0.25,STOPPAGE,0.25,Disposal Pre Clearance,0.55,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Hard Ball Get,0.15,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Hard Ball Get Post Clearance,0.02,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Hand Ball Pre Clearance,0.05,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Free For,0.15,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Free For Post Clearance,0.07,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Free For Pre Clearance,0.02,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Crumb,0.02,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Gather,0.02,0
3,KF,BALL WINNING,0.25,CONTEST,0.35,Contested Possession,0.5,0
3,KF,BALL WINNING,0.25,POWER,0.15,First Possession to Clearance Percentage,0.35,0
3,KF,BALL WINNING,0.25,POWER,0.15,Broken Tackle,0.4,0
3,KF,BALL WINNING,0.25,POWER,0.15,Contested Possession Rate,0.25,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Loose Ball Get,0.3,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Loose Ball Get Post Clearance,0.02,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Loose Ball Get Pre Clearance,0.02,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Handball Receive,0.15,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Uncontested Possession,0.2,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Uncontested Mark,0.22,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Disposal Post Clearance,0.07,0
3,KF,BALL WINNING,0.25,RECEIVES,0.25,Handball Receive Disposal Pct,0.02,0
3,KF,BALL USE,0.35,HANDBALLING,0.1,Handball,0.1,0
3,KF,BALL USE,0.35,HANDBALLING,0.1,Handball Efficiency,0.35,0
3,KF,BALL USE,0.35,HANDBALLING,0.1,Effective Handball,0.55,0
3,KF,BALL USE,0.35,KICKING,0.25,Kick,0.3,0
3,KF,BALL USE,0.35,KICKING,0.25,Kicking Efficiency,0.1,0
3,KF,BALL USE,0.35,KICKING,0.25,Clanger Kick Inverted,0.25,1
3,KF,BALL USE,0.35,KICKING,0.25,Effective Kick Short,0.2,0
3,KF,BALL USE,0.35,KICKING,0.25,Effective Long Kick,0.15,0
3,KF,BALL USE,0.35,GOAL KICKING,0.5,Goal,0.46,0
3,KF,BALL USE,0.35,GOAL KICKING,0.5,Missed Shots Inverted,0.04,1
3,KF,BALL USE,0.35,GOAL KICKING,0.5,Points,0.22,0
3,KF,BALL USE,0.35,GOAL KICKING,0.5,Shot At Goal,0.25,0
3,KF,BALL USE,0.35,GOAL KICKING,0.5,Score Accuracy Percentage,0.03,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Inside 50,0.2,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Rebound 50,0.05,0
3,KF,BALL USE,0.35,CONNECTING,0.15,I50 Disposal Pct,0.1,0
3,KF,BALL USE,0.35,CONNECTING,0.15,R50 Disposal Pct,0.05,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Running Bounce,0.05,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Handball Receive,0.1,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Mark Play On,0.15,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Contested Knock On,0.05,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Score Assist,0.1,0
3,KF,BALL USE,0.35,CONNECTING,0.15,Score Involvement,0.15,0
3,KF,AERIAL,0.3,MARKING,0.25,Mark,0.3,0
3,KF,AERIAL,0.3,MARKING,0.25,Mark Dropped Inverted,0.05,1
3,KF,AERIAL,0.3,MARKING,0.25,Mark On Lead,0.4,0
3,KF,AERIAL,0.3,MARKING,0.25,Mark Disposal Pct,0.25,0
3,KF,AERIAL,0.3,CONTESTED,0.35,Contested Mark,0.55,0
3,KF,AERIAL,0.3,CONTESTED,0.35,Contested Mark From Opp,0.05,0
3,KF,AERIAL,0.3,CONTESTED,0.35,Free Against Marking Inverted,0.05,1
3,KF,AERIAL,0.3,CONTESTED,0.35,Contested Mark Disposal Pct,0.35,0
3,KF,AERIAL,0.3,MOKS,0.15,Contested Mark From Opp,0.3,0
3,KF,AERIAL,0.3,MOKS,0.15,Mark From Opposition Kick,0.4,0
3,KF,AERIAL,0.3,MOKS,0.15,Uncontested Mark From Opp,0.3,0
3,KF,AERIAL,0.3,RUCK,0.25,Hit Out Sharked Inverted,0.05,1
3,KF,AERIAL,0.3,RUCK,0.25,Hit Out To Advantage,0.25,0
3,KF,AERIAL,0.3,RUCK,0.25,Hitout,0.506,0
3,KF,AERIAL,0.3,RUCK,0.25,Hitout To Advantage Win Percentage,0.051,0
3,KF,AERIAL,0.3,RUCK,0.25,Ruck Contest,0.143,0
3,KF,DEFENCE,0.1,PRESSURE,0.3,Player Attempted Tackle,0.7,0
3,KF,DEFENCE,0.1,PRESSURE,0.3,Player Ineffective Tackle Inverted,0.05,1
3,KF,DEFENCE,0.1,PRESSURE,0.3,Player Tackle Efficiency,0.25,0
3,KF,DEFENCE,0.1,TACKLING,0.35,Missed Tackle Inverted,0.08,1
3,KF,DEFENCE,0.1,TACKLING,0.35,Rundown Tackle,0.02,0
3,KF,DEFENCE,0.1,TACKLING,0.35,Tackle,0.5,0
3,KF,DEFENCE,0.1,TACKLING,0.35,Tackle Post Clearance,0.15,0
3,KF,DEFENCE,0.1,TACKLING,0.35,Tackle Pre Clearance,0.15,0
3,KF,DEFENCE,0.1,TACKLING,0.35,Free Against Tackling Inverted,0.1,1
3,KF,DEFENCE,0.1,INTERCEPTING,0.15,Intercept,0.6,0
3,KF,DEFENCE,0.1,INTERCEPTING,0.15,Intercept Disposal Pct,0.4,0
3,KF,DEFENCE,0.1,NEUTRALISE,0.2,Smother,0.05,0
3,KF,DEFENCE,0.1,NEUTRALISE,0.2,Spoil,0.55,0
3,KF,DEFENCE,0.1,NEUTRALISE,0.2,Spoil Efficiency,0.1,0
3,KF,DEFENCE,0.1,NEUTRALISE,0.2,Spoil Gaining Possession,0.3,0
3,GF,BALL WINNING,0.3,STOPPAGE,0.2,Clearance,0.2,0
3,GF,BALL WINNING,0.3,STOPPAGE,0.2,First Possession,0.3,0
